date,total_vaccinations_per_hundred,location
2021-01-03,2.07,United Kingdom
2021-01-04,,United Kingdom
2021-01-05,,United Kingdom
2021-01-06,,United Kingdom
2021-01-07,,United Kingdom
2021-01-08,,United Kingdom
2021-01-09,,United Kingdom
2021-01-10,3.94,United Kingdom
2021-01-11,4.19,United Kingdom
2021-01-12,4.52,United Kingdom
2021-01-13,4.94,United Kingdom
2021-01-14,5.42,United Kingdom
2021-01-15,5.93,United Kingdom
2021-01-16,6.37,United Kingdom
2021-01-17,6.65,United Kingdom
2021-01-18,6.96,United Kingdom
2021-01-19,7.47,United Kingdom
2021-01-20,8.01,United Kingdom
2021-01-21,8.62,United Kingdom
2021-01-22,9.32,United Kingdom
2021-01-23,10.05,United Kingdom
2021-01-24,10.38,United Kingdom
2021-01-25,10.79,United Kingdom
2021-01-26,11.25,United Kingdom
2021-01-27,11.72,United Kingdom
2021-01-28,12.33,United Kingdom
2021-01-29,13.05,United Kingdom
2021-01-30,13.95,United Kingdom
2021-01-31,14.42,United Kingdom
2021-02-01,14.94,United Kingdom
2021-02-02,15.5,United Kingdom
2021-02-03,16.19,United Kingdom
2021-02-04,16.91,United Kingdom
2021-02-05,17.64,United Kingdom
2021-02-06,18.45,United Kingdom
2021-02-07,18.86,United Kingdom
2021-02-08,19.39,United Kingdom
2021-02-09,20.0,United Kingdom
2021-02-10,20.67,United Kingdom
2021-02-11,21.42,United Kingdom
2021-02-12,22.23,United Kingdom
2021-02-13,22.98,United Kingdom
2021-02-14,23.33,United Kingdom
2021-02-15,23.75,United Kingdom
2021-02-16,24.3,United Kingdom
2021-02-17,25.04,United Kingdom
2021-02-18,25.73,United Kingdom
2021-02-19,26.3,United Kingdom
2021-02-20,26.81,United Kingdom
2021-02-21,27.03,United Kingdom
2021-02-22,27.34,United Kingdom
2021-02-23,27.86,United Kingdom
2021-02-24,28.57,United Kingdom
2021-02-25,29.33,United Kingdom
2021-02-26,30.13,United Kingdom
2021-02-27,30.77,United Kingdom
2021-02-28,31.07,United Kingdom
2021-03-01,31.41,United Kingdom
2021-03-02,31.82,United Kingdom
2021-03-03,32.33,United Kingdom
2021-03-04,32.99,United Kingdom
2021-03-05,33.71,United Kingdom
2021-03-06,34.37,United Kingdom
2021-03-07,34.65,United Kingdom
2021-03-08,35.02,United Kingdom
2021-03-09,35.45,United Kingdom
2021-03-10,35.95,United Kingdom
2021-03-11,36.47,United Kingdom
2021-03-12,37.15,United Kingdom
2021-03-13,37.98,United Kingdom
2021-03-14,38.39,United Kingdom
2021-03-15,39.04,United Kingdom
2021-03-16,39.82,United Kingdom
2021-03-17,40.68,United Kingdom
2021-03-18,41.65,United Kingdom
2021-03-19,42.74,United Kingdom
2021-03-20,43.99,United Kingdom
2021-03-21,44.6,United Kingdom
2021-03-22,45.21,United Kingdom
2021-03-23,45.94,United Kingdom
2021-03-24,46.79,United Kingdom
2021-03-25,47.62,United Kingdom
2021-03-26,48.64,United Kingdom
2021-03-27,49.62,United Kingdom
2021-03-28,50.27,United Kingdom
2021-03-29,50.87,United Kingdom
2021-03-30,51.61,United Kingdom
2021-03-31,52.53,United Kingdom
2021-04-01,53.44,United Kingdom
2021-04-02,53.96,United Kingdom
2021-04-03,54.38,United Kingdom
2021-04-04,54.52,United Kingdom
2021-04-05,54.68,United Kingdom
2021-04-06,55.08,United Kingdom
2021-04-07,55.83,United Kingdom
2021-04-08,56.63,United Kingdom
2021-04-09,57.45,United Kingdom
2021-04-10,58.32,United Kingdom
